,alphaGold,alphaBitcoin,value
256,0.5,0.6,22396.29635981105
257,0.5,0.7,22295.130525060977
258,0.5,0.8,22194.420817684222
259,0.5,0.9,22094.165184949485
260,0.5,1.0,21994.3615833504
261,0.5,1.1,21895.007978556285
262,0.5,1.2,21796.10234537847
263,0.5,1.3,21697.642667722663
264,0.5,1.4,21599.626938551035
265,0.5,1.5,21502.0531598452
266,0.5,1.6,21404.91934255754
267,0.5,1.7,21308.223506580307
268,0.5,1.8,21211.963680697583
269,0.5,1.9,21116.137902549017
270,0.5,2.0,21020.744218592736
271,0.5,2.1,20925.780684058976
272,0.5,2.2,20831.245362918595
273,0.5,2.3,20737.136327837317
274,0.5,2.4,20643.4516601391
275,0.5,2.5,20550.18944977085
276,0.5,2.6,20457.34779525636
277,0.5,2.7,20364.92480366617
278,0.5,2.8,20272.91859057195
279,0.5,2.9,20181.327280011767
280,0.5,3.0,20090.1490044546
281,0.5,3.1,19999.38190475608
282,0.5,3.2,19909.024130128393
283,0.5,3.3,19819.073838095035
284,0.5,3.4,19729.529194461844
285,0.5,3.5,19640.388373272097
286,0.5,3.6,19551.649556773384
287,0.5,3.7,19463.31093538322
288,0.5,3.8,19375.370707645732
289,0.5,3.9,19287.82708020302
290,0.5,4.0,19200.678267752057
291,0.5,4.1,19113.92249301153
292,0.5,4.2,19027.557986688487
293,0.5,4.3,18941.582987436006
294,0.5,4.4,18855.99574182527
295,0.5,4.5,18770.79450430318
296,0.5,4.6,18685.97753716007
297,0.5,4.7,18601.543110497336
298,0.5,4.8,18517.489502185577
299,0.5,4.9,18433.814997837453
300,0.6,0.0,22896.298012349842
301,0.6,0.1,22792.878925740828
302,0.6,0.2,22689.92610189331
303,0.6,0.3,22587.437442575283
304,0.6,0.4,22485.41085897456
305,0.6,0.5,22383.844271666003
306,0.6,0.6,22282.73561056188
307,0.6,0.7,22182.082814872498
308,0.6,0.8,22081.883833068805
309,0.6,0.9,21982.136622832295
310,0.6,1.0,21882.83915102311
311,0.6,1.1,21783.989393629883
312,0.6,1.2,21685.585335737625
313,0.6,1.3,21587.62497147877
314,0.6,1.4,21490.1063039972
315,0.6,1.5,21393.027345409646
316,0.6,1.6,21296.386116758593
317,0.6,1.7,21200.180647980716
318,0.6,1.8,21104.408977859857
319,0.6,1.9,21009.069153989705
320,0.6,2.0,20914.159232738828
321,0.6,2.1,20819.677279202286
322,0.6,2.2,20725.62136717229
323,0.6,2.3,20631.989579091016
324,0.6,2.4,20538.78000601548
325,0.6,2.5,20445.99074758175
326,0.6,2.6,20353.619911959297
327,0.6,2.7,20261.665615820926
328,0.6,2.8,20170.125984297505
329,0.6,2.9,20078.99915094327
330,0.6,3.0,19988.283257700696
331,0.6,3.1,19897.97645485618
332,0.6,3.2,19808.076901010416
333,0.6,3.3,19718.582763033435
334,0.6,3.4,19629.49221603493
335,0.6,3.5,19540.803443321194
336,0.6,3.6,19452.514636360313
337,0.6,3.7,19364.623994749327
338,0.6,3.8,19277.129726170606
339,0.6,3.9,19190.030046363478
340,0.6,4.0,19103.323179081133
341,0.6,4.1,19017.00735605754
342,0.6,4.2,18931.080816975027
343,0.6,4.3,18845.54180942137
344,0.6,4.4,18760.388588862363
345,0.6,4.5,18675.619418599235
346,0.6,4.6,18591.23256973734
347,0.6,4.7,18507.226321153074
348,0.6,4.8,18423.598959452902
349,0.6,4.9,18340.348778946
350,0.7,0.0,22780.200540772163
351,0.7,0.1,22677.305926644454
352,0.7,0.2,22574.87521035404
353,0.7,0.3,22472.906304312637
354,0.7,0.4,22371.397130304453
355,0.7,0.5,22270.345619452906
356,0.7,0.6,22169.7497121713
357,0.7,0.7,22069.607358124304
358,0.7,0.8,21969.9165161895
359,0.7,0.9,21870.675154409015
360,0.7,1.0,21771.881249956616
361,0.7,1.1,21673.5327890882
362,0.7,1.2,21575.627767110134
363,0.7,1.3,21478.164188330713
364,0.7,1.4,21381.140066022635
365,0.7,1.5,21284.553422387395
366,0.7,1.6,21188.40228850601
367,0.7,1.7,21092.684704309042
368,0.7,1.8,20997.398718529013
369,0.7,1.9,20902.542388664122
370,0.7,2.0,20808.113780941992
371,0.7,2.1,20714.11097027328
372,0.7,2.2,20620.532040221406
373,0.7,2.3,20527.37508295587
374,0.7,2.4,20434.63819921751
375,0.7,2.5,20342.319498282253
376,0.7,2.6,20250.417097916416
377,0.7,2.7,20158.929124346596
378,0.7,2.8,20067.853712214186
379,0.7,2.9,19977.189004541542
380,0.7,3.0,19886.933152696645
381,0.7,3.1,19797.084316348904
382,0.7,3.2,19707.640663440136
383,0.7,3.3,19618.60037013908
384,0.7,3.4,19529.961620812952
385,0.7,3.5,19441.72260798322
386,0.7,3.6,19353.881532292642
387,0.7,3.7,19266.43660247081
388,0.7,3.8,19179.386035292322
389,0.7,3.9,19092.728055547293
390,0.7,4.0,19006.46089599935
391,0.7,4.1,18920.58279735251
392,0.7,4.2,18835.09200821859
393,0.7,4.3,18749.986785074823
394,0.7,4.4,18665.265392236342
395,0.7,4.5,18580.926101814428
396,0.7,4.6,18496.96719368441
397,0.7,4.7,18413.38695545336
398,0.7,4.8,18330.183682419338
399,0.7,4.9,18247.35567754406
400,0.8,0.0,22664.69076846182
401,0.8,0.1,22562.31797147827
402,0.8,0.2,22460.406719382878
403,0.8,0.3,22358.95493517734
404,0.8,0.4,22257.960551188426
405,0.8,0.5,22157.421509034735
406,0.8,0.6,22057.33575957732
407,0.8,0.7,21957.701262882292
408,0.8,0.8,21858.51598818144
409,0.8,0.9,21759.777913824633
410,0.8,1.0,21661.485027247316
411,0.8,1.1,21563.635324920673
412,0.8,1.2,21466.226812320856
413,0.8,1.3,21369.257503879457
414,0.8,1.4,21272.725422947973
415,0.8,1.5,21176.62860176092
416,0.8,1.6,21080.965081387065
417,0.8,1.7,20985.73291170047
418,0.8,1.8,20890.930151331766
419,0.8,1.9,20796.554867633196
420,0.8,2.0,20702.605136642185
421,0.8,2.1,20609.079043035
422,0.8,2.2,20515.97468009669
423,0.8,2.3,20423.29014967504
424,0.8,2.4,20331.02356214515
425,0.8,2.5,20239.17303637435
426,0.8,2.6,20147.736699677283
427,0.8,2.7,20056.712687785726
428,0.8,2.8,19966.09914480369
429,0.8,2.9,19875.894223173647
430,0.8,3.0,19786.096083641067
431,0.8,3.1,19696.702895211227
432,0.8,3.2,19607.71283511947
433,0.8,3.3,19519.12408878638
434,0.8,3.4,19430.934849789577
435,0.8,3.5,19343.143319819425
436,0.8,3.6,19255.747708646213
437,0.8,3.7,19168.74623408656
438,0.8,3.8,19082.137121960826
439,0.8,3.9,18995.918606064213
440,0.8,4.0,18910.088928125093
441,0.8,4.1,18824.646337772294
442,0.8,4.2,18739.58909250148
443,0.8,4.3,18654.915457634597
444,0.8,4.4,18570.62370629164
445,0.8,4.5,18486.712119348776
446,0.8,4.6,18403.178985407063
447,0.8,4.7,18320.022600760265
448,0.8,4.8,18237.24126935379
449,0.8,4.9,18154.83330275782
450,0.9,0.0,22549.765725383324
451,0.9,0.1,22447.912103628238
452,0.9,0.2,22346.51768572651
453,0.9,0.3,22245.58040521632
454,0.9,0.4,22145.098204913695
455,0.9,0.5,22045.06903687911
456,0.9,0.6,21945.4908623692
457,0.9,0.7,21846.361651797673
458,0.9,0.8,21747.67938469894
459,0.9,0.9,21649.442049678044
460,0.9,1.0,21551.6476443801
461,0.9,1.1,21454.294175440107
462,0.9,1.2,21357.379658452042
463,0.9,1.3,21260.902117920257
464,0.9,1.4,21164.859587223622
465,0.9,1.5,21069.250108578377
466,0.9,1.6,20974.071732991375
467,0.9,1.7,20879.322520229027
468,0.9,1.8,20785.00053877045
469,0.9,1.9,20691.103865771824
470,0.9,2.0,20597.63058703082
471,0.9,2.1,20504.57879693954
472,0.9,2.2,20411.946598455837
473,0.9,2.3,20319.732103056376
474,0.9,2.4,20227.93343070212
475,0.9,2.5,20136.548709803068
476,0.9,2.6,20045.5760771738
477,0.9,2.7,19955.013678002968
478,0.9,2.8,19864.859665809563
479,0.9,2.9,19775.112202408116
480,0.9,3.0,19685.769457874667
481,0.9,3.1,19596.829610502537
482,0.9,3.2,19508.290846773776
483,0.9,3.3,19420.151361313998
484,0.9,3.4,19332.409356864468
485,0.9,3.5,19245.06304423803
486,0.9,3.6,19158.110642286498
487,0.9,3.7,19071.550377867083
488,0.9,3.8,18985.38048580015
489,0.9,3.9,18899.59920884073
490,0.9,4.0,18814.204797636565
491,0.9,4.1,18729.19551069547
492,0.9,4.2,18644.56961435277
493,0.9,4.3,18560.325382729894
494,0.9,4.4,18476.461097706866
495,0.9,4.5,18392.975048880857
496,0.9,4.6,18309.86553353426
497,0.9,4.7,18227.130856603366
498,0.9,4.8,18144.76933063739
499,0.9,4.9,18062.77927577148
500,1.0,0.0,22435.422456491007
501,1.0,0.1,22334.085381401674
502,1.0,0.2,22233.205180985562
503,1.0,0.3,22132.779799263608
504,1.0,0.4,22032.80718948789
505,1.0,0.5,21933.285314108267
506,1.0,0.6,21834.212144723482
507,1.0,0.7,21735.585662043544
508,1.0,0.8,21637.403855852113
509,1.0,0.9,21539.66472495853
510,1.0,1.0,21442.366277165373
511,1.0,1.1,21345.50652922025
512,1.0,1.2,21249.08350678331
513,1.0,1.3,21153.095244380864
514,1.0,1.4,21057.539785368273
515,1.0,1.5,20962.41518189333
516,1.0,1.6,20867.71949485027
517,1.0,1.7,20773.450793847805
518,1.0,1.8,20679.607157163606
519,1.0,1.9,20586.186671708496
520,1.0,2.0,20493.187432990242
521,1.0,2.1,20400.607545068626
522,1.0,2.2,20308.44512052427
523,1.0,2.3,20216.698280414606
524,1.0,2.4,20125.365154237665
525,1.0,2.5,20034.443879897888
526,1.0,2.6,19943.9326036615
527,1.0,2.7,19853.82948012648
528,1.0,2.8,19764.132672178872
529,1.0,2.9,19674.840350957937
530,1.0,3.0,19585.95069582282
531,1.0,3.1,19497.461894307955
532,1.0,3.2,19409.372142095242
533,1.0,3.3,19321.679642968757
534,1.0,3.4,19234.382608786957
535,1.0,3.5,19147.479259439024
536,1.0,3.6,19060.9678228122
537,1.0,3.7,18974.846534758755
538,1.0,3.8,18889.11363905338
539,1.0,3.9,18803.76738736535
540,1.0,4.0,18718.80603921665
541,1.0,4.1,18634.2278619493
542,1.0,4.2,18550.031130693424
543,1.0,4.3,18466.214128325446
544,1.0,4.4,18382.77514544105
545,1.0,4.5,18299.712480313974
546,1.0,4.6,18217.024438864246
547,1.0,4.7,18134.709334626903
548,1.0,4.8,18052.76548871135
549,1.0,4.9,17971.191229774246
550,1.1,0.0,22321.65802164286
551,1.1,0.1,22220.83487794308
552,1.1,0.2,22120.466291530418
553,1.1,0.3,22020.550216856005
554,1.1,0.4,21921.08461755498
555,1.1,0.5,21822.067466413744
556,1.1,0.6,21723.49674532097
557,1.1,0.7,21625.37044523107
558,1.1,0.8,21527.686566124954
559,1.1,0.9,21430.44311696403
560,1.1,1.0,21333.63811565766
561,1.1,1.1,21237.26958901393
562,1.1,1.2,21141.335572709148
563,1.1,1.3,21045.83411124033
564,1.1,1.4,20950.763257888837
565,1.1,1.5,20856.121074683884
566,1.1,1.6,20761.905632356444
567,1.1,1.7,20668.115010308542
568,1.1,1.8,20574.747296566355
569,1.1,1.9,20481.800587745704
570,1.1,2.0,20389.272989015917
571,1.1,2.1,20297.16261405463
572,1.1,2.2,20205.46758501742
573,1.1,2.3,20114.186032493257
574,1.1,2.4,20023.31609546931
575,1.1,2.5,19932.8559212962
576,1.1,2.6,19842.803665644216
577,1.1,2.7,19753.157492472583
578,1.1,2.8,19663.915573987073
579,1.1,2.9,19575.07609060478
580,1.1,3.0,19486.637230920445
581,1.1,3.1,19398.59719166341
582,1.1,3.2,19310.954177668387
583,1.1,3.3,19223.706401831703
584,1.1,3.4,19136.852085082704
585,1.1,3.5,19050.389456340992
586,1.1,3.6,18964.316752483574
587,1.1,3.7,18878.6322183121
588,1.1,3.8,18793.334106510214
589,1.1,3.9,18708.420677616476
590,1.1,4.0,18623.890199982117
591,1.1,4.1,18539.74094973858
592,1.1,4.2,18455.971210766173
593,1.1,4.3,18372.579274651922
594,1.1,4.4,18289.563440663253
595,1.1,4.5,18206.922015706496
596,1.1,4.6,18124.653314295545
597,1.1,4.7,18042.75565852062
598,1.1,4.8,17961.227378007818
599,1.1,4.9,17880.06680989235
600,1.2,0.0,22208.46949553592
601,1.2,0.1,22108.157681168304
602,1.2,0.2,22008.298118436367
603,1.2,0.3,21908.88877216878
604,1.2,0.4,21809.927616331246
605,1.2,0.5,21711.41263399423
606,1.2,0.6,21613.341817284338
607,1.2,0.7,21515.71316734766
608,1.2,0.8,21418.524694311884
609,1.2,0.9,21321.77441723876
610,1.2,1.0,21225.460364092592
611,1.2,1.1,21129.580571691913
612,1.2,1.2,21034.13308567789
613,1.2,1.3,20939.11596046803
614,1.2,1.4,20844.527259218972
615,1.2,1.5,20750.3650537918
616,1.2,1.6,20656.62742470463
617,1.2,1.7,20563.312461102156
618,1.2,1.8,20470.418260710714
619,1.2,1.9,20377.94292980169
620,1.2,2.0,20285.884583156734
621,1.2,2.1,20194.241344022856
622,1.2,2.2,20103.011344082042
623,1.2,2.3,20012.19272340676
624,1.2,2.4,19921.783630424863
625,1.2,2.5,19831.782221885678
626,1.2,2.6,19742.186662815395
627,1.2,2.7,19652.995126487993
628,1.2,2.8,19564.205794380956
629,1.2,2.9,19475.816856142344
630,1.2,3.0,19387.826509556166
631,1.2,3.1,19300.23296049962
632,1.2,3.2,19213.034422914214
633,1.2,3.3,19126.229118762043
634,1.2,3.4,19039.81527799773
635,1.2,3.5,18953.79113852536
636,1.2,3.6,18868.154946166334
637,1.2,3.7,18782.904954626065
638,1.2,3.8,18698.039425452534
639,1.2,3.9,18613.556628008282
640,1.2,4.0,18529.454839428916
641,1.2,4.1,18445.732344591197
642,1.2,4.2,18362.387436081062
643,1.2,4.3,18279.4184141523
644,1.2,4.4,18196.823586699862
645,1.2,4.5,18114.601269218976
646,1.2,4.6,18032.7497847739
647,1.2,4.7,17951.267463966775
648,1.2,4.8,17870.15264489724
649,1.2,4.9,17789.403673136105
650,1.3,0.0,22095.85396762245
651,1.3,0.1,21996.050893681753
652,1.3,0.2,21896.69777740101
653,1.3,0.3,21797.792593933806
654,1.3,0.4,21699.333327523425
655,1.3,0.5,21601.317971472745
656,1.3,0.6,21503.744528094747
657,1.3,0.7,21406.6110086755
658,1.3,0.8,21309.91543343767
659,1.3,0.9,21213.655831492397
660,1.3,1.0,21117.83024080828
661,1.3,1.1,21022.436708162946
662,1.3,1.2,20927.47328911277
663,1.3,1.3,20832.93804794464
664,1.3,1.4,20738.829057641426
665,1.3,1.5,20645.144399845536
666,1.3,1.6,20551.882164812636
667,1.3,1.7,20459.040451381607
668,1.3,1.8,20366.617366928847
669,1.3,1.9,20274.611027332627
670,1.3,2.0,20183.01955693869
671,1.3,2.1,20091.84108851465
672,1.3,2.2,20001.073763220673
673,1.3,2.3,19910.7157305645
674,1.3,2.4,19820.765148367245
675,1.3,2.5,19731.22018272918
676,1.3,2.6,19642.0790079849
677,1.3,2.7,19553.339806675678
678,1.3,2.8,19465.000769504546
679,1.3,2.9,19377.060095303365
680,1.3,3.0,19289.515990998676
681,1.3,3.1,19202.36667156935
682,1.3,3.2,19115.610360017603
683,1.3,3.3,19029.245287325542
684,1.3,3.4,18943.26969242711
685,1.3,3.5,18857.681822165454
686,1.3,3.6,18772.479931261085
687,1.3,3.7,18687.662282278274
688,1.3,3.8,18603.22714558392
689,1.3,3.9,18519.172799320142
690,1.3,4.0,18435.497529362827
691,1.3,4.1,18352.199629289367
692,1.3,4.2,18269.27740034717
693,1.3,4.3,18186.729151412925
694,1.3,4.4,18104.553198965554
695,1.3,4.5,18022.747867045695
696,1.3,4.6,17941.31148722468
697,1.3,4.7,17860.24239857326
698,1.3,4.8,17779.538947622015
699,1.3,4.9,17699.19948833435
700,1.4,0.0,21983.808542039664
701,1.4,0.1,21884.51163270685
702,1.4,0.2,21785.662398674744
703,1.4,0.3,21687.258825368895
704,1.4,0.4,21589.298907259436
705,1.4,0.5,21491.780647829073
706,1.4,0.6,21394.702059525218
707,1.4,0.7,21298.061163723258
708,1.4,0.8,21201.855990689266
709,1.4,0.9,21106.084579532904
710,1.4,1.0,21010.744978176725
711,1.4,1.1,20915.835243307098
712,1.4,1.2,20821.35344034443
713,1.4,1.3,20727.297643396134
714,1.4,1.4,20633.66593522099
715,1.4,1.5,20540.4564071933
716,1.4,1.6,20447.66715925703
717,1.4,1.7,20355.29629989595
718,1.4,1.8,20263.34194608757
719,1.4,1.9,20171.80222326897
720,1.4,2.0,20080.67526530094
721,1.4,2.1,19989.959214423703
722,1.4,2.2,19899.652221227596
723,1.4,2.3,19809.752444607944
724,1.4,2.4,19720.258051731427
725,1.4,2.5,19631.167218001592
726,1.4,2.6,19542.478127015238
727,1.4,2.7,19454.188970533152
728,1.4,2.8,19366.297948437426
729,1.4,2.9,19278.803268697215
730,1.4,3.0,19191.703147335444
731,1.4,3.1,19104.995808386208
732,1.4,3.2,19018.679483866763
733,1.4,3.3,18932.75241373355
734,1.4,3.4,18847.21284585423
735,1.4,3.5,18762.0590359662
736,1.4,3.6,18677.289247643428
737,1.4,3.7,18592.90175226416
738,1.4,3.8,18508.894828970195
739,1.4,3.9,18425.266764638447
740,1.4,4.0,18342.01585384042
741,1.4,4.1,18259.140398810374
742,1.4,4.2,18176.638709413564
743,1.4,4.3,18094.509103105644
744,1.4,4.4,18012.749904906064
745,1.4,4.5,17931.35944735753
746,1.4,4.6,17850.336070495363
747,1.4,4.7,17769.678121816214
748,1.4,4.8,17689.383956238675
749,1.4,4.9,17609.451936076533
750,1.5,0.0,21872.330337539046
751,1.5,0.1,21773.537030014904
752,1.5,0.2,21675.189126989844
753,1.5,0.3,21577.284624109838
754,1.5,0.4,21479.821526019216
755,1.5,0.5,21382.79784632935
756,1.5,0.6,21286.211607571215
757,1.5,0.7,21190.06084115768
758,1.5,0.8,21094.343587347917
759,1.5,0.9,20999.057895199236
760,1.5,1.0,20904.20182253759
761,1.5,1.1,20809.773435907984
762,1.5,1.2,20715.770810545335
763,1.5,1.3,20622.19203032726
764,1.5,1.4,20529.035187739155
765,1.5,1.5,20436.298383837733
766,1.5,1.6,20343.979728206694
767,1.5,1.7,20252.07733892524
768,1.5,1.8,20160.58934252411
769,1.5,1.9,20069.513873949953
770,1.5,2.0,19978.84907653088
771,1.5,2.1,19888.59310193188
772,1.5,2.2,19798.744110125263
773,1.5,2.3,19709.300269346793
